ID_global,ID_colleccion,Name_Collecion,Link
28000,000,Apariencia,https://www.tiktok.com/@steelodivine/video/7253983666890607878
28001,001,Apariencia,https://www.tiktok.com/@bienbarbon/video/7241720768969706757
28002,002,Apariencia,https://www.tiktok.com/@adrianrsj0/video/7248055385720884486
28003,003,Apariencia,https://www.tiktok.com/@soyrexcardona/video/7230252669636463878
28004,004,Apariencia,https://www.tiktok.com/@elabnormal/video/7216463808087264517
28005,005,Apariencia,https://www.tiktok.com/@mariangelacaserta/video/7245291462471028014
28006,006,Apariencia,https://www.tiktok.com/@psicologia.practica/video/7237549268733578502
28007,007,Apariencia,https://www.tiktok.com/@haroldcastrohg/video/7232090625137560838
28008,008,Apariencia,https://www.tiktok.com/@estilo.masculino/video/7231325438444883206
28009,009,Apariencia,https://www.tiktok.com/@ferbazanc/video/7194604128989875462
28010,010,Apariencia,https://www.tiktok.com/@llafur.jimenez/video/7216143313991257350
28011,011,Apariencia,https://www.tiktok.com/@elestudiolumiere/video/7191193963636837637
28012,012,Apariencia,https://www.tiktok.com/@desde_cer0o/video/7178275269294296326
28013,013,Apariencia,https://www.tiktok.com/@soymatiaslaca/video/7005699843234483462
28014,014,Apariencia,https://www.tiktok.com/@jqvi19/video/7175604522637593861
28015,015,Apariencia,https://www.tiktok.com/@jotapablorb/video/7169319626860481797
28016,016,Apariencia,https://www.tiktok.com/@davidotero67/video/7151540145500491013
28017,017,Apariencia,https://www.tiktok.com/@inspiratuaudiencia/video/7158494717435596038
28018,018,Apariencia,https://www.tiktok.com/@valazki/video/7152975295212047621
28019,019,Apariencia,https://www.tiktok.com/@ferbazanc/video/7154141760325684486
28020,020,Apariencia,https://www.tiktok.com/@hombre10oficial/video/7117428502579727622
28021,021,Apariencia,https://www.tiktok.com/@ferbazanc/video/7107967834126339334
28022,022,Apariencia,https://www.tiktok.com/@alphaestilo/video/7089993115381058821
28023,023,Apariencia,https://www.tiktok.com/@devanondeck/video/6839503607021276422
28024,024,Apariencia,https://www.tiktok.com/@timdessaint/video/6999643464417791237
28025,025,Apariencia,https://www.tiktok.com/@palenxia/video/7014244680770653445
28026,026,Apariencia,https://www.tiktok.com/@zoduard/video/7030533622994193670
